


Спасибо 			thank you
что нового?			what's new
что происходит			what's up
что с тобой			what's up with you
Молодец!			Well done!
до свидания			goodbye
пойдем				let's go to
меня жаль			I'm sorry
за твоё здоровье!		bottoms up!	
увидимся			see you later


звать				to call 
зовут				(they) call 
как тебя зовут?			what's your name? 
меня зовут ...			my name is ...
как				how;like;
дела				things; affairs
как дела?			how are you?
очень				very
хорошо				well; okay; alright
я				I
меня 				me(мне; мной)
у меняat 			me; I have
у тебя 				at you; you have (singular) 
у тебяat 			you; you have (singular)
ты (тебя; тебе; тобой) 		you (singular) 
всё				all; everything
у меня всё очень хорошо		I'm very well
добро пожаловать!		welcome!
Россия				Russia
может быть			maybe
молодец!			well done!
д				d
а				a
да				yes
н				n
е				ye; e
т				t
нет				no
к				k
о				o
м				m
с				s
р				r
б				b
л				l
ж				zh
п				p
и				i; ee
в				v
пока				bye bye
ы				i
ь				soft sign
й				y
ё				yo
ч				ch
я				ya
э				e
ш				sh
г				g
ф				f
з				z
х				h; kh
ц				ts
у				u; oo
щ				sch
ъ				hard
ю				yu
пожалуйста			please; you are welcome
спокойной ночиgood 		night

гений				genius 
ты гений!			you're a genius! 

*** being human ***

больной				sick
болен				sick (short version)
счастливый			happy
счастлив			happy (short version)
грустный			sad
злой				angry
неправ				wrong; not right
правильный			right; correct
голодный			hungry
хотеть				to want
ты хочешь			you want
пить				to drink
устать				to be tired; to get tired
я счастлив			I'm happy (said by a man)
я счастлива			I'm happy (said by a woman)
ты счастлив			you're happy (said to a man)
ты счастлива			you're happy (said to a woman)
ты счастлив?			are you happy?
я неправ?			am I wrong?
я голоден			I'm hungry
ты хочешь пить?			do you want to drink (something)?


